web-scraper-order,web-scraper-start-url,nama-resto,nama-resto-href,nama-makanan,harga-makanan,detail-makanan
"1520910451-2326","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Tiram Cah Tausi","Rp. 104,500","Large"
"1520910700-2840","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Ayam goreng rica-rica","Rp. 72,000",""
"1520910575-2609","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Satrio","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-satrio","Nasi Goreng","Rp. 33,000",""
"1520910637-2816","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Kebon Jeruk","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-kebon-jeruk","Paket 3/Orang","Rp. 50,600","Nasi+Rendang Paru+Kakap Goreng Tepung+Cap Cay+Ayam Bakar+Salad Timun+Puding+Kerupuk Udang+Buah-Buahan+Soft Drink+Set Piring+ Perlengkapan/Service"
"1520910700-3038","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Mie goreng polos(isinya mie+sayur+telur)","Rp. 36,000",""
"1520910637-2714","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Kebon Jeruk","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-kebon-jeruk","Sayur Nangka","Rp. 8,800",""
"1520910637-2737","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Kebon Jeruk","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-kebon-jeruk","Juice Mangga","Rp. 16,500",""
"1520910885-3297","https://www.pumasera.com/content/restaurant","Puput Chinese Food Setiabudi","https://www.pumasera.com/content/restaurant/detail/puput-chinese-food-setiabudi","Ayam Fillet Sichuan","Rp. 51,975",""
"1520909303-906","https://www.pumasera.com/content/restaurant","Warung Tekko","https://www.pumasera.com/content/restaurant/detail/warung-tekko","Iga Bakar Bumbu Kacang","Rp. 60,500",""
"1520909303-962","https://www.pumasera.com/content/restaurant","Warung Tekko","https://www.pumasera.com/content/restaurant/detail/warung-tekko","Tumis Kailan","Rp. 22,000",""
"1520910514-2472","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Sudirman Park","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-sudirman-park","Sambal Lado Teri Pete","Rp. 15,400",""
"1520910451-2166","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Pare Cah Sayur Asin","Rp. 82,500","Large"
"1520910451-2364","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Ayam Rebus","Rp. 99,000","Half"
"1520910451-2368","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Ayam Goreng Gandum","Rp. 121,000","Large"
"1520910451-2112","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Kakap Asam Manis","Rp. 132,000","Large"
"1520909303-897","https://www.pumasera.com/content/restaurant","Warung Tekko","https://www.pumasera.com/content/restaurant/detail/warung-tekko","Paket 3","Rp. 55,900","Nasi Putih, Ayam Penyet, Cumi Goreng, Tahu dan Tempe Goreng, Lalapan, Sambal"
"1520911190-3719","https://www.pumasera.com/content/restaurant","Pang Garden","https://www.pumasera.com/content/restaurant/detail/pang-garden","Gurame Telor Asin","Rp. 79,000",""
"1520909321-1077","https://www.pumasera.com/content/restaurant","Warung Leko","https://www.pumasera.com/content/restaurant/detail/warung-leko","Babat + Otot Sapi","Rp. 40,700",""
"1520910082-1628","https://www.pumasera.com/content/restaurant","Sop Buntut Ibu Samino","https://www.pumasera.com/content/restaurant/detail/sop-buntut-ibu-samino","Sop Ayam Biasa+Nasi","Rp. 25,000",""
"1520911190-3755","https://www.pumasera.com/content/restaurant","Pang Garden","https://www.pumasera.com/content/restaurant/detail/pang-garden","Jamur Cah Sapi","Rp. 30,000",""
"1520910264-1827","https://www.pumasera.com/content/restaurant","Sarimande Metropolitan","https://www.pumasera.com/content/restaurant/detail/sarimande-metropolitan","Es Soda Gembira","Rp. 17,600",""
"1520910700-3009","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Sapi cah blumkol","Rp. 96,000",""
"1520910700-3025","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Bihun masak kuah seafood","Rp. 90,000",""
"1520910451-2384","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Telor Goreng Caipo","Rp. 49,500","Large"
"1520910451-2293","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Babi Panggang","Rp. 44,000","Pax"
"1520910823-3191","https://www.pumasera.com/content/restaurant","Raja Konro Daeng Naba","https://www.pumasera.com/content/restaurant/detail/raja-konro-daeng-naba","Kerang Dara Saos Padang","Rp. 35,750",""
"1520909658-1370","https://www.pumasera.com/content/restaurant","Teo Chew Palace","https://www.pumasera.com/content/restaurant/detail/teo-chew-palace","Ayam Kampung Rebus","Rp. 286,440","Utuh"
"1520910575-2665","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Satrio","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-satrio","Telor Gulai/Goreng","Rp. 12,100",""
"1520910885-3426","https://www.pumasera.com/content/restaurant","Puput Chinese Food Setiabudi","https://www.pumasera.com/content/restaurant/detail/puput-chinese-food-setiabudi","Ice Almond Leecie","Rp. 48,510",""
"1520910325-1924","https://www.pumasera.com/content/restaurant","Santap Malam Awong Pecenongan","https://www.pumasera.com/content/restaurant/detail/santap-malam-awong-pecenongan","Lindung Cah Kumak","Rp. 50,000",""
"1520909303-1003","https://www.pumasera.com/content/restaurant","Warung Tekko","https://www.pumasera.com/content/restaurant/detail/warung-tekko","Kembang Tahu Kayu Manis","Rp. 11,000",""
"1520910264-1824","https://www.pumasera.com/content/restaurant","Sarimande Metropolitan","https://www.pumasera.com/content/restaurant/detail/sarimande-metropolitan","Es Jeruk Kelapa","Rp. 24,200",""
"1520910637-2716","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Kebon Jeruk","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-kebon-jeruk","Urap","Rp. 8,800",""
"1520909321-1154","https://www.pumasera.com/content/restaurant","Warung Leko","https://www.pumasera.com/content/restaurant/detail/warung-leko","Teh Tawar","Rp. 8,800",""
"1520910264-1768","https://www.pumasera.com/content/restaurant","Sarimande Metropolitan","https://www.pumasera.com/content/restaurant/detail/sarimande-metropolitan","Nasi Ayam+Dendeng","Rp. 44,550",""
"1520910637-2731","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Kebon Jeruk","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-kebon-jeruk","Kopyor Kerok","Rp. 25,300",""
"1520911312-3873","https://www.pumasera.com/content/restaurant","Otak Otak Ibu Elly Khas Makassar","https://www.pumasera.com/content/restaurant/detail/otak-otak-ibu-elly-khas-makassar","Mie kering makssar","Rp. 30,000","Per Porsi"
"1520910451-2331","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Mun Kodok","Rp. 99,000","Reguler"
"1520909596-1350","https://www.pumasera.com/content/restaurant","The Halal Bros","https://www.pumasera.com/content/restaurant/detail/the-halal-bros","Nutella Wrap","Rp. 18,000",""
"1520909960-1581","https://www.pumasera.com/content/restaurant","Sop Kaki Kambing Dudung Roxy","https://www.pumasera.com/content/restaurant/detail/sop-kaki-kambing-dudung-roxy","Biaya Catering 100 pax","Rp. 300,000","per acara."
"1520910885-3445","https://www.pumasera.com/content/restaurant","Puput Chinese Food Setiabudi","https://www.pumasera.com/content/restaurant/detail/puput-chinese-food-setiabudi","Soda Susu","Rp. 43,890",""
"1520911190-3729","https://www.pumasera.com/content/restaurant","Pang Garden","https://www.pumasera.com/content/restaurant/detail/pang-garden","Cumi Tahu Tausi","Rp. 27,000",""
"1520910451-2375","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Sapo Tahu Seafood","Rp. 99,000","Reguler"
"1520910761-3127","https://www.pumasera.com/content/restaurant","Rempa Manado","https://www.pumasera.com/content/restaurant/detail/rempa-manado","Paket Special 2","Rp. 60,000","Nasi+Ayam Rabe Rica+Telur Ikan Woku+Kangkung Tumis Bunga Pepaya+Perkedel Jagung+Sambal Dabu-dabu+Kerupuk+Buah"
"1520911007-3567","https://www.pumasera.com/content/restaurant","Pondok Mutiara 68","https://www.pumasera.com/content/restaurant/detail/pondok-mutiara-68","Sambal Mangga","Rp. 8,250","Porsi"
"1520911190-3635","https://www.pumasera.com/content/restaurant","Pang Garden","https://www.pumasera.com/content/restaurant/detail/pang-garden","Mie/Bihun/Kwetiau Ayam","Rp. 14,000",""
"1520909348-1186","https://www.pumasera.com/content/restaurant","Warung Bejo","https://www.pumasera.com/content/restaurant/detail/warung-bejo","ES BEJO ADEM","Rp. 10,000",""
"1520910451-2141","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Udang Goreng Gandum","Rp. 214,500","Large"
"1520910637-2753","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Kebon Jeruk","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-kebon-jeruk","Lemon Tea Hangat","Rp. 15,400",""
"1520910325-1871","https://www.pumasera.com/content/restaurant","Santap Malam Awong Pecenongan","https://www.pumasera.com/content/restaurant/detail/santap-malam-awong-pecenongan","Babat Cah Sayur Asin","Rp. 50,000",""
"1520910700-3031","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Mie ayam kuah","Rp. 32,400",""
"1520911128-3614","https://www.pumasera.com/content/restaurant","Pempek 18","https://www.pumasera.com/content/restaurant/detail/pempek-18","Pempek Pistel","Rp. 7,000","isi pepaya"
"1520911128-3612","https://www.pumasera.com/content/restaurant","Pempek 18","https://www.pumasera.com/content/restaurant/detail/pempek-18","Pempek Tunu (Panggang)","Rp. 8,000","isi ebi"
"1520910823-3252","https://www.pumasera.com/content/restaurant","Raja Konro Daeng Naba","https://www.pumasera.com/content/restaurant/detail/raja-konro-daeng-naba","The Botol","Rp. 6,600",""
