web-scraper-order,web-scraper-start-url,nama,harga,detail
"1520907528-479","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Topping Ayam Naga","Rp. 7,000",""
"1520907528-570","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kangkung Cah Polos","Rp. 20,000",""
"1520907528-378","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Swekiau Kuah","Rp. 36,000",""
"1520907528-552","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Goreng","Rp. 32,000",""
"1520907528-590","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Fu Yung Hai","Rp. 35,000",""
"1520907528-644","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Kelapa Muda","Rp. 24,000",""
"1520907528-384","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Karet Naga","Rp. 27,000",""
"1520907528-542","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Cumi Cah Tahu","Rp. 55,000",""
"1520907528-404","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","I Fu Mie Spesial (S)","Rp. 42,000",""
"1520907528-499","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Capcay","Rp. 33,000",""
"1520907528-598","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sop Asparagus Ayam Rajungan(S)","Rp. 43,000",""
"1520907528-415","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Pangsit Goreng (2 pcs)","Rp. 10,000",""
"1520907528-410","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Lo Mie Karet Naga","Rp. 41,000",""
"1520907528-537","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sapi Lada Hitam","Rp. 56,000",""
"1520907528-573","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kangkung Cah Telur Puyuh","Rp. 39,000",""
"1520907528-385","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Ayam Campur","Rp. 31,000",""
"1520907528-533","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Daging Cah Cabe","Rp. 55,000",""
"1520907528-584","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Brokoli Cah Ayam","Rp. 50,000",""
"1520907528-509","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ayam Goreng Kering","Rp. 50,000",""
"1520907528-524","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Udang Cah Cabe","Rp. 55,000",""
"1520907528-529","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Udang Saos Tomat","Rp. 55,000",""
"1520907528-558","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Goreng Seafood Rajungan","Rp. 42,000",""
"1520907528-567","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Cap Cay Cah Spesial","Rp. 45,000",""
"1520907528-594","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sop Rajungan (S)","Rp. 35,000",""
"1520907528-472","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Otak-otak Ikan Goreng (3 pcs)","Rp. 13,000",""
"1520907528-521","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ikan Gurame Goreng Mentega","Rp. 79,000",""
"1520907528-527","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Udang Goreng Mentega","Rp. 55,000",""
"1520907528-595","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sop Rajungan (L)","Rp. 43,000",""
"1520907528-501","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Cah Daging Sapi","Rp. 42,000",""
"1520907528-622","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kopi","Rp. 13,000",""
"1520907528-608","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sop Jagung Rajungan (S)","Rp. 43,000",""
"1520907528-517","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kulit Ayam Goreng Mentega","Rp. 38,000",""
"1520907528-430","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bihun Ayam Jamur","Rp. 28,500",""
"1520907528-414","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Pangsit Kuah (8 pcs)","Rp. 36,000",""
"1520907528-580","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sapo Tahu Ayam","Rp. 50,000",""
"1520907528-477","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Topping Ayam Kecap","Rp. 6,000",""
"1520907528-530","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Udang Mayonaise","Rp. 56,000",""
"1520907528-601","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sop Asparagus Rajungan(L)","Rp. 50,000",""
"1520907528-604","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sop Jagung Ayam (S)","Rp. 43,000",""
"1520907528-508","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ayam Cah Kailan","Rp. 44,000",""
"1520907528-602","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sop Asparagus Jagung (S)","Rp. 43,000",""
"1520907528-638","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Cincau Hitam","Rp. 19,000",""
"1520907528-571","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kangkung Cah Balacan","Rp. 28,000",""
"1520907528-613","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sop Sayur Telur Puyuh (L)","Rp. 50,000",""
"1520907528-583","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Brokoli Cah Polos","Rp. 34,000",""
"1520907528-651","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Jus Jeruk","Rp. 24,000",""
"1520907528-489","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Ayam Lemon","Rp. 43,000",""
"1520907528-497","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Udang Goreng Tepung","Rp. 35,000",""
"1520907528-432","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bihun Bakso Sapi","Rp. 36,000",""
"1520907528-547","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Cumi Mayonaise","Rp. 56,000",""
"1520907528-531","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sapi Mayonaise","Rp. 56,000",""
"1520907528-397","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Goreng Vegetarian","Rp. 27,000",""
"1520907528-471","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Swekiau Goreng (6 pcs)","Rp. 35,000",""
"1520907528-532","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Steak Daging","Rp. 56,000",""
"1520907528-373","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Ayam Special Naga","Rp. 28,500",""
"1520907528-534","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Daging Cah Caisim","Rp. 55,000",""
"1520907528-634","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Kacang Merah","Rp. 18,000",""
"1520907528-411","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Lo Mie","Rp. 41,000",""
"1520907528-627","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Soda","Rp. 10,000",""
"1520907528-456","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kwetiau Masak Seafood","Rp. 46,000",""
"1520907528-520","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ikan Gurame Goreng Kering","Rp. 79,000",""
"1520907528-409","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","I Fu Mie Sapi Lada Hitam (L)","Rp. 50,000",""
"1520907528-382","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Polos","Rp. 23,000",""
"1520907528-379","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Swekiau Goreng","Rp. 36,000",""
"1520907528-433","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bihun Bakso Ikan","Rp. 36,000",""
"1520907528-575","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kangkung Cah Udang","Rp. 45,000",""
"1520907528-645","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Jeruk Kelapa","Rp. 26,000",""
"1520907528-626","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Air Jeruk Murni","Rp. 29,000",""
"1520907528-502","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Steak Daging","Rp. 45,000",""
"1520907528-459","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kwetiau Siram Seafood","Rp. 46,000",""
"1520907528-510","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ayam Goreng Mentega","Rp. 50,000",""
"1520907528-647","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Fanta","Rp. 12,000",""
"1520907528-417","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Pangsit Goreng (8 pcs)","Rp. 36,000",""
"1520907528-451","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kwetiau Ayam Cah Jamur","Rp. 40,000",""
"1520907528-401","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ceker Ayam","Rp. 29,000",""
"1520907528-491","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Ayam Goreng Mentega","Rp. 35,000",""
"1520907528-628","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Soda Lemon","Rp. 20,000",""
"1520907528-655","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Jus Sirsak","Rp. 24,000",""
"1520907528-500","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Capcay Ayam","Rp. 31,500",""
"1520907528-617","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Teh Manis","Rp. 7,000",""
"1520907528-603","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sop Asparagus Jagung (L)","Rp. 50,000",""
"1520907528-498","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Ayam Cah Jamur","Rp. 31,500",""
"1520907528-554","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Goreng Pete","Rp. 38,000",""
"1520907528-463","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kwetiau Ayam","Rp. 28,000",""
"1520907528-512","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ayam Saos Tiram","Rp. 50,000",""
"1520907528-541","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Cumi Cah Cabe","Rp. 55,000",""
"1520907528-523","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ikan Gurame Asam Manis","Rp. 79,000",""
"1520907528-402","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","I Fu Mie (S)","Rp. 30,000",""
"1520907528-408","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","I Fu Mie Sapi Lada Hitam (S)","Rp. 39,000",""
"1520907528-515","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ayam Lemon","Rp. 52,000",""
"1520907528-473","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Otak-otak Ikan Goreng (5 pcs)","Rp. 20,000",""
"1520907528-564","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Goreng Katsu","Rp. 34,000",""
"1520907528-490","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Ayam Mayonaise","Rp. 43,000",""
"1520907528-581","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sapo Tahu Seafood","Rp. 57,000",""
"1520907528-466","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kwetiau Bakso Sapi","Rp. 36,000",""
"1520907528-568","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Cap Cay Kuah","Rp. 39,000",""
"1520907528-455","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kwetiau Masak","Rp. 43,000",""
"1520907528-562","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Goreng Vegetarian","Rp. 25,000",""
"1520907528-488","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Sapi Lada Hitam","Rp. 45,000",""
"1520907528-485","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Cah Sapi Jamur","Rp. 45,000",""
"1520907528-449","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kwetiau Swekiau Goreng","Rp. 36,000",""
"1520907528-637","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Selasi","Rp. 18,000",""
"1520907528-585","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Brokoli Cah Udang","Rp. 50,000",""
"1520907528-563","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Goreng Sosis","Rp. 34,000",""
"1520907528-393","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Goreng Seafood","Rp. 46,000",""
"1520907528-566","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Cap Cay Cah","Rp. 39,000",""
"1520907528-522","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ikan Gurame Goreng Tepung","Rp. 79,000",""
"1520907528-439","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bihun Ayam Cah Jamur","Rp. 40,000",""
"1520907528-526","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Udang Telur puyuh","Rp. 55,000",""
"1520907528-618","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Air Mineral","Rp. 7,000",""
"1520907528-484","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Fu Yung Hai Udang","Rp. 30,000",""
"1520907528-546","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Cumi Saos Tomat","Rp. 55,000",""
"1520907528-553","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Goreng Spesial","Rp. 36,000",""
"1520907528-398","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Sapi Lada Hitam","Rp. 50,000",""
"1520907528-649","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Jus Alpukat","Rp. 24,000",""
"1520907528-374","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Bakso Ikan","Rp. 37,000",""
"1520907528-487","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Sapi Mayonaise","Rp. 45,000",""
"1520907528-551","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Goreng Ayam","Rp. 26,000",""
"1520907528-454","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kwetiau Goreng Spesial","Rp. 43,000",""
"1520907528-391","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Goreng Karet Naga","Rp. 40,000",""
"1520907528-429","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bihun Ayam","Rp. 28,000",""
"1520907528-380","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Ayam Telur Puyuh","Rp. 36,000",""
"1520907528-623","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kopi Susu","Rp. 17,000",""
"1520907528-578","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Tauge Cah Ikan Asin","Rp. 29,000",""
"1520907528-565","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Cap Cay Kuah Spesial","Rp. 45,000",""
"1520907528-544","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Cumi Goreng Mentega","Rp. 55,000",""
"1520907528-389","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Cah Daging Sapi","Rp. 50,000",""
